no;year;winner;gender;age;country;time;marathon
144;2003;Robert Kipkoech Cheruiyot;Male;30;Kenya;04/05/2018 2:10;Boston
145;2003;Svetlana Zakharova;Female;30;Russia;04/05/2018 2:25;Boston
146;2002;Rodgers Rop;Male;30;Kenya;04/05/2018 2:09;Boston
147;2002;Margaret Okayo;Female;30;Kenya;04/05/2018 2:20;Boston
148;2001;Lee Bong-Ju;Male;30;South Korea;04/05/2018 2:09;Boston
149;2001;Catherine Ndereba;Female;30;Kenya;04/05/2018 2:23;Boston
150;2000;Elijah Lagat;Male;30;Kenya;04/05/2018 2:09;Boston
151;2000;Catherine Ndereba;Female;23;Kenya;04/05/2018 2:26;Boston
152;1999;Joseph Chebet;Male;30;Kenya;04/05/2018 2:09;Boston
153;1999;Fatuma Roba;Female;30;Ethiopia;04/05/2018 2:23;Boston
154;1998;Moses Tanui;Male;30;Kenya;04/05/2018 2:07;Boston
155;1998;Fatuma Roba;Female;30;Ethiopia;04/05/2018 2:23;Boston
156;1997;Lameck Aguta;Male;30;Kenya;04/05/2018 2:10;Boston
157;1997;Fatuma Roba;Female;23;Ethiopia;04/05/2018 2:26;Boston
158;1996;Moses Tanui;Male;30;Kenya;04/05/2018 2:09;Boston
159;1996;Uta Pippig;Female;30;Germany;04/05/2018 2:27;Boston
160;1995;Cosmas Ndeti;Male;30;Kenya;04/05/2018 2:09;Boston
161;1995;Uta Pippig;Female;31;Germany;04/05/2018 2:25;Boston
162;1994;Cosmas Ndeti;Male;31;Kenya;04/05/2018 2:07;Boston
163;1994;Uta Pippig;Female;31;Germany;04/05/2018 2:21;Boston
164;1993;Cosmas Ndeti;Male;31;Kenya;04/05/2018 2:09;Boston
165;1993;Olga Markova;Female;31;Russia;04/05/2018 2:25;Boston
166;1992;Ibrahim Hussein;Male;31;Kenya;04/05/2018 2:08;Boston
167;1992;Olga Markova;Female;31;Russia;04/05/2018 2:23;Boston
168;1991;Ibrahim Hussein;Male;31;Kenya;04/05/2018 2:11;Boston
169;1991;Wanda Panfil;Female;31;Poland;04/05/2018 2:24;Boston
170;1990;Gelindo Bordin;Male;31;Italy;04/05/2018 2:08;Boston
171;1990;Rosa Mota;Female;31;Portugal;04/05/2018 2:25;Boston
172;1989;Abebe Mekonnen;Male;31;Ethiopia;04/05/2018 2:09;Boston
173;1989;Ingrid Kristiansen;Female;31;Norway;04/05/2018 2:24;Boston
174;1988;Ibrahim Hussein;Male;31;Kenya;04/05/2018 2:08;Boston
175;1988;Rosa Mota;Female;31;Portugal;04/05/2018 2:24;Boston
176;1987;Toshihiko Seko;Male;31;Japan;04/05/2018 2:11;Boston
177;1987;Rosa Mota;Female;31;Portugal;04/05/2018 2:25;Boston
178;1986;Robert de Castella;Male;31;Australia;04/05/2018 2:07;Boston
179;1986;Ingrid Kristiansen;Female;31;Norway;04/05/2018 2:24;Boston
180;1985;Geoff Smith;Male;32;United Kingdom;04/05/2018 2:14;Boston
181;1985;Lisa Larsen Weidenbach;Female;32;United States;04/05/2018 2:34;Boston
182;1984;Geoff Smith;Male;32;United Kingdom;04/05/2018 2:10;Boston
183;1984;Lorraine Moller;Female;32;New Zealand;04/05/2018 2:29;Boston
184;1983;Greg Meyer;Male;32;United States;04/05/2018 2:09;Boston
185;1983;Joan Benoit;Female;32;United States;04/05/2018 2:22;Boston
186;1982;Alberto Salazar;Male;32;United States;04/05/2018 2:08;Boston
187;1982;Charlotte Teske;Female;32;Germany;04/05/2018 2:29;Boston
188;1981;Toshihiko Seko;Male;32;Japan;04/05/2018 2:09;Boston
189;1981;Allison Roe;Female;32;New Zealand;04/05/2018 2:26;Boston
190;1980;Bill Rodgers;Male;32;United States;04/05/2018 2:12;Boston
191;1980;Jacqueline Gareau;Female;32;Canada;04/05/2018 2:34;Boston
192;1979;Bill Rodgers;Male;32;United States;04/05/2018 2:09;Boston
193;1979;Joan Benoit;Female;33;United States;04/05/2018 2:35;Boston
194;1978;Bill Rodgers;Male;33;United States;04/05/2018 2:10;Boston
195;1978;Gayle Barron;Female;33;United States;04/05/2018 2:44;Boston
196;1977;Jerome Drayton;Male;33;Canada;04/05/2018 2:14;Boston
197;1977;Miki Gorman;Female;33;United States;04/05/2018 2:48;Boston
198;1976;Jack Fultz;Male;33;United States;04/05/2018 2:20;Boston
199;1976;Kim Merritt;Female;33;United States;04/05/2018 2:47;Boston
200;1975;Bill Rodgers;Male;33;United States;04/05/2018 2:09;Boston
201;1975;Liane Winter;Female;33;Germany;04/05/2018 2:42;Boston
202;1974;Neil Cusack;Male;33;Ireland;04/05/2018 2:13;Boston
203;1974;Miki Gorman;Female;33;United States;04/05/2018 2:47;Boston
204;1973;Jon Anderson;Male;33;United States;04/05/2018 2:16;Boston
205;1973;Jacqueline Hansen;Female;34;United States;04/05/2018 3:05;Boston
206;1972;Olavi Suomalainen;Male;34;Finland;04/05/2018 2:15;Boston
207;1972;Nina Kuscsik;Female;34;United States;04/05/2018 3:10;Boston
208;1971;Álvaro Mejía;Male;34;Colombia;04/05/2018 2:18;Boston
209;1971;Sara Mae Berman;Female;34;United States;04/05/2018 3:08;Boston
210;1970;Ron Hill;Male;34;United Kingdom;04/05/2018 2:10;Boston
211;1970;Sara Mae Berman;Female;34;United States;04/05/2018 3:05;Boston
212;1969;Yoshiaki Unetani;Male;34;Japan;04/05/2018 2:13;Boston
213;1969;Sara Mae Berman;Female;34;United States;04/05/2018 3:22;Boston
214;1968;Amby Burfoot;Male;35;United States;04/05/2018 2:22;Boston
215;1968;Bobbi Gibb;Female;35;United States;04/05/2018 3:30;Boston
216;1967;Dave McKenzie;Male;35;New Zealand;04/05/2018 2:15;Boston
217;1967;Bobbi Gibb;Female;35;United States;04/05/2018 3:27;Boston
218;1966;Kenji Kimihara;Male;36;Japan;04/05/2018 2:17;Boston
219;1966;Bobbi Gibb;Female;36;United States;04/05/2018 3:21;Boston
220;1965;Morio Shigematsu;Male;35;Japan;04/05/2018 2:16;Boston
221;1964;Aurèle Vandendriessche;Male;36;Belgium;04/05/2018 2:19;Boston
222;1963;Aurèle Vandendriessche;Male;37;Belgium;04/05/2018 2:18;Boston
223;1962;Eino Oksanen;Male;38;Finland;04/05/2018 2:23;Boston
224;1961;Eino Oksanen;Male;39;Finland;04/05/2018 2:23;Boston
225;1960;Paavo Kotila;Male;43;Finland;04/05/2018 2:20;Boston
226;1959;Eino Oksanen;Male;44;Finland;04/05/2018 2:22;Boston
227;1958;Franjo Mihalic;Male;50;Yugoslavia;04/05/2018 2:25;Boston
228;1957;John J. Kelley;Male;40;United States;04/05/2018 2:20;Boston
229;1956;Antti Viskari;Male;35;Finland;04/05/2018 2:14;Boston
230;1955;Hideo Hamamura;Male;30;Japan;04/05/2018 2:18;Boston
231;1954;Veikko Karvonen;Male;30;Finland;04/05/2018 2:20;Boston
232;1953;Keizo Yamada;Male;20;Japan;04/05/2018 2:18;Boston
233;1952;Doroteo Flores;Male;20;Guatemala;04/05/2018 2:31;Boston
234;1951;Shigeki Tanaka;Male;30;Japan;04/05/2018 2:27;Boston
235;1950;Ham Kee-Yong;Male;40;South Korea;04/05/2018 2:32;Boston
236;1949;Gösta Leandersson;Male;40;Sweden;04/05/2018 2:31;Boston
237;1948;Gérard Côté;Male;45;Canada;04/05/2018 2:31;Boston
238;1947;Suh Yun-bok;Male;40;South Korea;04/05/2018 2:25;Boston
239;1946;Stylianos Kyriakides;Male;45;Greece;04/05/2018 2:29;Boston
240;1945;John A. Kelley;Male;40;United States;04/05/2018 2:30;Boston
241;1944;Gérard Côté;Male;30;Canada;04/05/2018 2:31;Boston
242;1943;Gérard Côté;Male;30;Canada;04/05/2018 2:28;Boston
243;1942;Joe Smith;Male;35;United States;04/05/2018 2:26;Boston
244;1941;Leslie S. Pawson;Male;45;United States;04/05/2018 2:30;Boston
245;1940;Gérard Côté;Male;35;Canada;04/05/2018 2:28;Boston
246;1939;Ellison Brown;Male;30;United States;04/05/2018 2:28;Boston
247;1938;Leslie S. Pawson;Male;45;United States;04/05/2018 2:35;Boston
248;1937;Walter Young;Male;40;Canada;04/05/2018 2:33;Boston
249;1936;Ellison Brown;Male;35;United States;04/05/2018 2:33;Boston
250;1935;John A. Kelley;Male;50;United States;04/05/2018 2:32;Boston
251;1934;Dave Komonen;Male;30;Canada;04/05/2018 2:32;Boston
252;1933;Leslie S. Pawson;Male;20;United States;04/05/2018 2:31;Boston
253;1932;Paul de Bruyn;Male;35;Germany;04/05/2018 2:33;Boston
254;1931;James Henigan;Male;35;United States;04/05/2018 2:46;Boston
255;1930;Clarence DeMar;Male;45;United States;04/05/2018 2:34;Boston
256;1929;Johnny Miles;Male;35;Canada;04/05/2018 2:33;Boston
257;1928;Clarence DeMar;Male;50;United States;04/05/2018 2:37;Boston
258;1927;Clarence DeMar;Male;30;United States;04/05/2018 2:40;Boston
259;1926;Johnny Miles;Male;35;Canada;04/05/2018 2:25;Boston
260;1925;Charles Mellor;Male;20;United States;04/05/2018 2:33;Boston
261;1924;Clarence DeMar;Male;35;United States;04/05/2018 2:29;Boston
262;1923;Clarence DeMar;Male;40;United States;04/05/2018 2:23;Boston
263;1922;Clarence DeMar;Male;50;United States;04/05/2018 2:18;Boston
264;1921;Frank Zuna;Male;35;United States;04/05/2018 2:18;Boston
265;1920;Peter Trivoulides;Male;40;Greece;04/05/2018 2:29;Boston
266;1919;Carl Linder;Male;40;United States;04/05/2018 2:29;Boston
267;1918;NA;NA;20;NA;NA;Boston
268;1917;Bill Kennedy;Male;30;United States;04/05/2018 2:28;Boston
269;1916;Arthur Roth;Male;40;United States;04/05/2018 2:27;Boston
270;1915;Édouard Fabre;Male;20;Canada;04/05/2018 2:31;Boston
271;1914;James Duffy;Male;35;Canada;04/05/2018 2:25;Boston
272;1913;Fritz Carlson;Male;50;United States;04/05/2018 2:25;Boston
273;1912;Michael J. Ryan;Male;20;United States;04/05/2018 2:21;Boston
274;1911;Clarence DeMar;Male;35;United States;04/05/2018 2:21;Boston
275;1910;Fred Cameron;Male;30;Canada;04/05/2018 2:28;Boston
276;1909;Henri Renaud;Male;35;United States;04/05/2018 2:53;Boston
277;1908;Thomas Morrissey;Male;40;United States;04/05/2018 2:25;Boston
278;1907;Thomas Longboat;Male;30;Canada;04/05/2018 2:24;Boston
279;1906;Tim Ford;Male;40;United States;04/05/2018 2:45;Boston
280;1905;Frederick Lorz;Male;35;United States;04/05/2018 2:38;Boston
281;1904;Michael Spring;Male;30;United States;04/05/2018 2:38;Boston
282;1903;John Lorden;Male;50;United States;04/05/2018 2:41;Boston
283;1902;Sammy Mellor;Male;45;United States;04/05/2018 2:43;Boston
284;1901;Jack Caffery;Male;40;Canada;04/05/2018 2:29;Boston
285;1900;Jack Caffery;Male;30;Canada;04/05/2018 2:39;Boston
286;1899;Lawrence Brignolia;Male;20;United States;04/05/2018 2:54;Boston
287;1898;Ronald J. MacDonald;Male;30;Canada;04/05/2018 2:42;Boston
288;1897;John J. McDermott;Male;30;United States;04/05/2018 2:55;Boston
289;2017;Geoffrey Kamworor;Male;20;Kenya;04/05/2018 2:10;NYC
290;2017;Shalane Flanagan;Female;35;United States;04/05/2018 2:26;NYC
291;2016;Ghirmay Ghebreslassie;Male;40;Eritrea;04/05/2018 2:07;NYC
292;2016;Mary Keitany;Female;45;Kenya;04/05/2018 2:24;NYC
293;2015;Stanley Biwott;Male;20;Kenya;04/05/2018 2:10;NYC
294;2015;Mary Keitany;Female;50;Kenya;04/05/2018 2:24;NYC
295;2014;Wilson Kipsang;Male;40;Kenya;04/05/2018 2:10;NYC
296;2014;Mary Keitany;Female;30;Kenya;04/05/2018 2:25;NYC
297;2013;Geoffrey Mutai;Male;35;Kenya;04/05/2018 2:08;NYC
298;2013;Priscah Jeptoo;Female;35;Kenya;04/05/2018 2:25;NYC
299;2012;NA;NA;35;NA;NA;NYC
300;2012;NA;NA;35;NA;NA;NYC
301;2011;Geoffrey Mutai;Male;40;Kenya;04/05/2018 2:05;NYC
302;2011;Firehiwot Dado;Female;35;Ethiopia;04/05/2018 2:23;NYC
303;2010;Gebregziabher Gebremariam;Male;30;Ethiopia;04/05/2018 2:08;NYC
304;2010;Edna Kiplagat;Female;30;Kenya;04/05/2018 2:28;NYC
305;2009;Meb Keflezighi;Male;40;United States;04/05/2018 2:09;NYC
306;2009;Derartu Tulu;Female;35;Ethiopia;04/05/2018 2:28;NYC
307;2008;Marílson Gomes dos Santos;Male;30;Brazil;04/05/2018 2:08;NYC
308;2008;Paula Radcliffe;Female;50;United Kingdom;04/05/2018 2:23;NYC
309;2007;Martin Lel;Male;40;Kenya;04/05/2018 2:09;NYC
310;2007;Paula Radcliffe;Female;35;United Kingdom;04/05/2018 2:23;NYC
311;2006;Marílson Gomes dos Santos;Male;35;Brazil;04/05/2018 2:09;NYC
312;2006;Jelena Prokopcuka;Female;35;Latvia;04/05/2018 2:25;NYC
313;2005;Paul Tergat;Male;35;Kenya;04/05/2018 2:09;NYC
314;2005;Jelena Prokopcuka;Female;30;Latvia;04/05/2018 2:24;NYC
315;2004;Hendrick Ramaala;Male;40;South Africa;04/05/2018 2:09;NYC
316;2004;Paula Radcliffe;Female;30;United Kingdom;04/05/2018 2:23;NYC
317;2003;Martin Lel;Male;45;Kenya;04/05/2018 2:10;NYC
318;2003;Margaret Okayo;Female;45;Kenya;04/05/2018 2:22;NYC
319;2002;Rodgers Rop;Male;45;Kenya;04/05/2018 2:08;NYC
320;2002;Joyce Chepchumba;Female;20;Kenya;04/05/2018 2:25;NYC
321;2001;Tesfaye Jifar;Male;35;Ethiopia;04/05/2018 2:07;NYC
322;2001;Margaret Okayo;Female;45;Kenya;04/05/2018 2:24;NYC
323;2000;Abdelkader El Mouaziz;Male;20;Morocco;04/05/2018 2:10;NYC
324;2000;Lyudmila Petrova;Female;20;Russia;04/05/2018 2:25;NYC
325;1999;Joseph Chebet;Male;20;Kenya;04/05/2018 2:09;NYC
326;1999;Adriana Fernandez;Female;20;Mexico;04/05/2018 2:25;NYC
327;1998;John Kagwe;Male;30;Kenya;04/05/2018 2:08;NYC
328;1998;Franca Fiacconi;Female;40;Italy;04/05/2018 2:25;NYC
329;1997;John Kagwe;Male;30;Kenya;04/05/2018 2:08;NYC
330;1997;Franziska Rochat-Moser;Female;40;Switzerland;04/05/2018 2:28;NYC
331;1996;Giacomo Leone;Male;35;Italy;04/05/2018 2:09;NYC
332;1996;Anuta Catuna;Female;40;Romania;04/05/2018 2:28;NYC
333;1995;Germán Silva;Male;40;Mexico;04/05/2018 2:11;NYC
334;1995;Tegla Loroupe;Female;45;Kenya;04/05/2018 2:28;NYC
335;1994;Germán Silva;Male;35;Mexico;04/05/2018 2:11;NYC
336;1994;Tegla Loroupe;Female;40;Kenya;04/05/2018 2:27;NYC
337;1993;Andrés Espinosa;Male;45;Mexico;04/05/2018 2:10;NYC
338;1993;Uta Pippig;Female;45;Germany;04/05/2018 2:26;NYC
