no;year;winner;gender;age;country;time;marathon
422;1998;Abel Antón;Male;50;Spain;04/05/2018 2:07;London
423;1998;Catherina McKiernan;Female;40;Ireland;04/05/2018 2:26;London
424;1997;António Pinto;Male;40;Portugal;04/05/2018 2:07;London
425;1997;Joyce Chepchumba;Female;30;Kenya;04/05/2018 2:26;London
426;1996;Dionicio Cerón;Male;20;Mexico;04/05/2018 2:10;London
427;1996;Liz McColgan;Female;40;United Kingdom;04/05/2018 2:27;London
428;1995;Dionicio Cerón;Male;45;Mexico;04/05/2018 2:08;London
429;1995;Malgorzata Sobanska;Female;20;Poland;04/05/2018 2:27;London
430;1994;Dionicio Cerón;Male;30;Mexico;04/05/2018 2:08;London
431;1994;Katrin Dörre-Heinig;Female;30;Germany;04/05/2018 2:32;London
432;1993;Eamonn Martin;Male;40;United Kingdom;04/05/2018 2:10;London
433;1993;Katrin Dörre-Heinig;Female;40;Germany;04/05/2018 2:27;London
434;1992;António Pinto;Male;45;Portugal;04/05/2018 2:10;London
435;1992;Katrin Dörre-Heinig;Female;55;Germany;04/05/2018 2:29;London
436;1991;Yakov Tolstikov;Male;40;Soviet Union;04/05/2018 2:09;London
437;1991;Rosa Mota;Female;40;Portugal;04/05/2018 2:26;London
438;1990;Allister Hutton;Male;30;United Kingdom;04/05/2018 2:10;London
439;1990;Wanda Panfil;Female;40;Poland;04/05/2018 2:26;London
440;1989;Douglas Wakiihuri;Male;30;Kenya;04/05/2018 2:09;London
441;1989;Véronique Marot;Female;50;United Kingdom;04/05/2018 2:25;London
442;1988;Henrik Jørgensen;Male;30;Denmark;04/05/2018 2:10;London
443;1988;Ingrid Kristiansen;Female;35;Norway;04/05/2018 2:25;London
444;1987;Hiromi Taniguchi;Male;40;Japan;04/05/2018 2:09;London
445;1987;Ingrid Kristiansen;Female;50;Norway;04/05/2018 2:22;London
446;1986;Toshihiko Seko;Male;20;Japan;04/05/2018 2:10;London
447;1986;Grete Waitz;Female;30;Norway;04/05/2018 2:24;London
448;1985;Steve Jones;Male;40;United Kingdom;04/05/2018 2:08;London
449;1985;Ingrid Kristiansen;Female;40;Norway;04/05/2018 2:21;London
450;1984;Charlie Spedding;Male;20;United Kingdom;04/05/2018 2:09;London
451;1984;Ingrid Kristiansen;Female;30;Norway;04/05/2018 2:24;London
452;1983;Mike Gratton;Male;40;United Kingdom;04/05/2018 2:09;London
453;1983;Grete Waitz;Female;40;Norway;04/05/2018 2:25;London
454;1982;Hugh Jones;Male;45;United Kingdom;04/05/2018 2:09;London
455;1982;Joyce Smith;Female;45;United Kingdom;04/05/2018 2:29;London
456;1981;Dick Beardsley;Male;50;United States;04/05/2018 2:11;London
457;1981;Inge Simonsen;Male;35;Norway;04/05/2018 2:11;London
458;1981;Joyce Smith;Female;35;United Kingdom;04/05/2018 2:29;London
459;2017;Galen Rupp;Male;35;United States;04/05/2018 2:09;Chicago
460;2017;Tirunesh Dibaba;Female;45;Ethiopia;04/05/2018 2:18;Chicago
461;2016;Abel Kirui;Male;40;Kenya;04/05/2018 2:11;Chicago
462;2016;Florence Kiplagat;Female;35;Kenya;04/05/2018 2:21;Chicago
463;2015;Dickson Chumba;Male;45;Kenya;04/05/2018 2:09;Chicago
464;2015;Florence Kiplagat;Female;20;Kenya;04/05/2018 2:23;Chicago
465;2014;Eliud Kipchoge;Male;45;Kenya;04/05/2018 2:04;Chicago
466;2014;Mare Dibaba;Female;30;Ethiopia;04/05/2018 2:25;Chicago
467;2013;Dennis Kimetto;Male;40;Kenya;04/05/2018 2:03;Chicago
468;2013;Rita Jeptoo;Female;35;Kenya;04/05/2018 2:19;Chicago
469;2012;Tsegaye Kebede;Male;45;Ethiopia;04/05/2018 2:04;Chicago
470;2012;Atsede Baysa;Female;35;Ethiopia;04/05/2018 2:22;Chicago
471;2011;Moses Mosop;Male;40;Kenya;04/05/2018 2:05;Chicago
472;2011;Ejegayehu Dibaba;Female;50;Ethiopia;04/05/2018 2:22;Chicago
473;2010;Samuel Wanjiru;Male;20;Kenya;04/05/2018 2:06;Chicago
474;2010;Atsede Baysa;Female;40;Ethiopia;04/05/2018 2:23;Chicago
475;2009;Samuel Wanjiru;Male;40;Kenya;04/05/2018 2:05;Chicago
476;2009;Irina Mikitenko;Female;40;Germany;04/05/2018 2:26;Chicago
477;2008;Evans Cheruiyot;Male;40;Kenya;04/05/2018 2:06;Chicago
478;2008;Lidiya Grigoryeva;Female;50;Russia;04/05/2018 2:27;Chicago
479;2007;Patrick Ivuti;Male;45;Kenya;04/05/2018 2:11;Chicago
480;2007;Berhane Adere;Female;30;Ethiopia;04/05/2018 2:33;Chicago
481;2006;Robert Cheruiyot;Male;35;Kenya;04/05/2018 2:07;Chicago
482;2006;Berhane Adere;Female;40;Ethiopia;04/05/2018 2:20;Chicago
483;2005;Felix Limo;Male;20;Kenya;04/05/2018 2:07;Chicago
484;2005;Deena Kastor;Female;50;United States;04/05/2018 2:21;Chicago
485;2004;Evans Rutto;Male;40;Kenya;04/05/2018 2:06;Chicago
486;2004;Dita, Constantina;Female;35;Romania;04/05/2018 2:23;Chicago
487;2003;Evans Rutto;Male;50;Kenya;04/05/2018 2:05;Chicago
488;2003;Svetlana Zakharova;Female;30;Russia;04/05/2018 2:23;Chicago
489;2002;Khalid Khannouchi;Male;50;United States;04/05/2018 2:05;Chicago
490;2002;Paula Radcliffe;Female;30;United Kingdom;04/05/2018 2:17;Chicago
491;2001;Ben Kimondiu;Male;35;Kenya;04/05/2018 2:08;Chicago
492;2001;Catherine Ndereba;Female;45;Kenya;04/05/2018 2:18;Chicago
493;2000;Khalid Khannouchi;Male;20;United States;04/05/2018 2:07;Chicago
494;2000;Catherine Ndereba;Female;45;Kenya;04/05/2018 2:21;Chicago
495;1999;Khalid Khannouchi;Male;40;Morocco;04/05/2018 2:05;Chicago
496;1999;Joyce Chepchumba;Female;50;Kenya;04/05/2018 2:25;Chicago
497;1998;Ondoro Osoro;Male;20;Kenya;04/05/2018 2:06;Chicago
498;1998;Joyce Chepchumba;Female;35;Kenya;04/05/2018 2:23;Chicago
499;1997;Khalid Khannouchi;Male;30;Morocco;04/05/2018 2:07;Chicago
500;1997;Marian Sutton;Female;20;United Kingdom;04/05/2018 2:29;Chicago
501;1996;Paul Evans;Male;35;United Kingdom;04/05/2018 2:08;Chicago
502;1996;Marian Sutton;Female;45;United Kingdom;04/05/2018 2:30;Chicago
503;1995;Eamonn Martin;Male;20;United Kingdom;04/05/2018 2:11;Chicago
504;1995;Ritva Lemettinen;Female;50;Finland;04/05/2018 2:28;Chicago
505;1994;Luíz Antônio;Male;35;Brazil;04/05/2018 2:11;Chicago
506;1994;Kristy Johnston;Female;40;United States;04/05/2018 2:31;Chicago
507;1993;Luíz Antônio;Male;30;Brazil;04/05/2018 2:13;Chicago
508;1993;Ritva Lemettinen;Female;50;Finland;04/05/2018 2:33;Chicago
509;1992;José Cesar de Souza;Male;45;Brazil;04/05/2018 2:16;Chicago
510;1992;Linda Somers;Female;20;United States;04/05/2018 2:37;Chicago
511;1991;Joseildo Rocha;Male;20;Brazil;04/05/2018 2:14;Chicago
512;1991;Midde Hamrin;Female;45;Sweden;04/05/2018 2:36;Chicago
513;1990;Martín Pitayo;Male;30;Mexico;04/05/2018 2:09;Chicago
514;1990;Aurora Cunha;Female;30;Portugal;04/05/2018 2:30;Chicago
515;1989;Paul Davies-Hale;Male;40;United Kingdom;04/05/2018 2:11;Chicago
516;1989;Lisa Weidenbach;Female;35;United States;04/05/2018 2:28;Chicago
517;1988;Alejandro Cruz;Male;30;Mexico;04/05/2018 2:08;Chicago
518;1988;Lisa Weidenbach;Female;40;United States;04/05/2018 2:29;Chicago
519;1987;NA;NA;40;NA;NA;Chicago
520;1987;NA;NA;20;NA;NA;Chicago
521;1986;Toshihiko Seko;Male;40;Japan;04/05/2018 2:08;Chicago
522;1986;Ingrid Kristiansen;Female;20;Norway;04/05/2018 2:27;Chicago
523;1985;Steve Jones;Male;20;United Kingdom;04/05/2018 2:07;Chicago
524;1985;Joan Benoit;Female;30;United States;04/05/2018 2:21;Chicago
525;1984;Steve Jones;Male;35;United Kingdom;04/05/2018 2:08;Chicago
526;1984;Rosa Mota;Female;40;Portugal;04/05/2018 2:26;Chicago
527;1983;Joseph Nzau;Male;40;Kenya;04/05/2018 2:09;Chicago
528;1983;Rosa Mota;Female;50;Portugal;04/05/2018 2:31;Chicago
529;1982;Greg Meyer;Male;55;United States;04/05/2018 2:10;Chicago
530;1982;Nancy Conz;Female;45;United States;04/05/2018 2:33;Chicago
531;1981;Phil Coppess;Male;40;United States;04/05/2018 2:16;Chicago
532;1981;Tina Gandy;Female;40;United States;04/05/2018 2:49;Chicago
533;1980;Frank Richardson;Male;20;United States;04/05/2018 2:14;Chicago
534;1980;Sue Peterson;Female;30;United States;04/05/2018 2:45;Chicago
535;1979;Dan Cloeter;Male;20;United States;04/05/2018 2:23;Chicago
536;1979;Laura Michalek;Female;40;United States;04/05/2018 3:15;Chicago
537;1978;Mark Stanforth;Male;45;United States;04/05/2018 2:19;Chicago
538;1978;Lynae Larson;Female;35;United States;04/05/2018 2:59;Chicago
539;1977;Dan Cloeter;Male;30;United States;04/05/2018 2:17;Chicago
540;1977;Dorothy Doolittle;Female;40;United States;04/05/2018 2:50;Chicago
541;2018;Vivian Cheruiyot;Female;30;Kenya;04/05/2018 2:18;London
